idx,lam,sigma,gamma
7,0.002,-2.500581002,28.218949790
8,1.0,0.184898716,30.880646309
8,0.7,0.167442885,30.902777137
8,0.5,0.068248197,30.980784351
8,0.35,-0.020639703,30.956891221
8,0.25,-0.124592930,30.925964593
8,0.18,-0.246522067,30.914604002
8,0.12,-0.411011253,30.916432406
8,0.08,-0.579130860,30.923515524
8,0.05,-0.771857290,30.931469938
8,0.03,-0.976937018,30.938308722
8,0.02,-1.136594611,30.942867215
8,0.012,-1.333990648,30.948366517
8,0.0,-2.981173927,31.108702393
9,1.0,0.201600651,33.645414006
9,0.7,0.405089317,33.627754078
9,0.5,0.360220210,33.508131643
9,0.35,0.183279656,33.541161084
9,0.25,-0.012027050,33.581229838
9,0.18,-0.195155060,33.588991244
9,0.12,-0.401250110,33.575465267
9,0.08,-0.592337678,33.557658576
9,0.05,-0.805311274,33.541204041
9,0.03,-1.033507404,33.528589773
9,0.02,-1.214634122,33.520645240
9,0.012,-1.444264490,33.511018522
9,0.008,-1.628239243,33.502486640
9,0.005,-1.843831812,33.490646182
9,0.003,-2.081467076,33.474621882
9,0.002,-2.272936480,33.459187236
10,1.0,0.500521706,35.905349950
10,0.7,0.446429308,36.397429427
10,0.5,0.802831755,36.501052994
10,0.35,0.582846447,36.446493586
10,0.25,0.321898699,36.253469463
10,0.18,0.238291039,36.142288462
10,0.12,0.165331829,36.143664998
10,0.08,0.101523429,36.223535204
10,0.05,0.085351303,36.374293183
10,0.03,0.157463697,36.475036081
10,0.02,0.199977670,36.503145137
10,0.012,0.231519549,36.519406973
10,0.0,0.274411988,36.537755726
11,1.0,0.317543848,37.270071151
11,0.7,0.107918196,36.795173515
11,0.5,-0.372343010,36.697992830
11,0.35,-0.210779886,36.755851733
11,0.25,0.000906283,36.953929238
11,0.18,0.006003515,37.070612785
11,0.12,-0.066453747,37.075538324
11,0.08,-0.184645223,36.999943727
11,0.05,-0.403293402,36.851309433
11,0.03,-0.743543869,36.750342065
11,0.02,-1.002549656,36.720960408
11,0.012,-1.307913381,36.702495002
11,0.008,-1.539811473,36.693894650
11,0.005,-1.801282909,36.687350948
11,0.003,-2.079580818,36.682842780
11,0.002,-2.297586805,36.680637378
12,1.0,0.222935602,39.791827388
12,0.7,0.413957208,39.695712079
12,0.5,0.401005960,39.809338672
12,0.35,0.220886760,39.789426767
12,0.25,0.002027483,39.755631145
12,0.18,-0.201390197,39.748523958
12,0.12,-0.426568033,39.756923001
12,0.08,-0.630946734,39.767169075
12,0.05,-0.853629323,39.775352424
12,0.03,-1.087742517,39.780604041
12,0.02,-1.271433838,39.783509959
12,0.012,-1.502608143,39.786941470
12,0.008,-1.686824311,39.790100660
12,0.005,-1.901714194,39.794669498
12,0.003,-2.137223172,39.801020733
12,0.002,-2.325696699,39.807196424
13,1.0,0.228534071,42.219590425
13,0.7,0.311551566,42.472944719
13,0.5,0.204455164,42.348833154
13,0.35,0.082686010,42.334780884
13,0.25,-0.035428054,42.349488258
13,0.18,-0.162381031,42.351806171
13,0.12,-0.324235000,42.352926287
13,0.08,-0.486904034,42.362279051
13,0.05,-0.675445844,42.383308893
13,0.03,-0.880995767,42.414502790
13,0.02,-1.045388923,42.443194166
13,0.012,-1.254940400,42.482562291
13,0.008,-1.423671048,42.515585015
13,0.005,-1.622250736,42.555209269
13,0.003,-1.841910187,42.599358856
13,0.002,-2.019128743,42.634881486
14,1.0,0.379485375,44.614573424
14,0.7,0.199864140,44.415989183
14,0.5,0.080985127,44.718038949
14,0.35,0.139006170,44.685669764
14,0.25,0.159964137,44.547926949
14,0.18,0.138099237,44.481419754
14,0.12,0.082815786,44.451500833
14,0.08,0.011285554,44.447068052
14,0.05,-0.079275757,44.459379179
14,0.03,-0.177374006,44.487949289
14,0.02,-0.250256673,44.519749197
14,0.012,-0.330703911,44.569275704
14,0.0,-0.449511493,44.820042175
15,1.0,0.465287251,45.734285828
15,0.7,0.544888176,45.909330538
15,0.5,0.577005270,45.566141860
15,0.35,0.414980037,45.604101397
15,0.25,0.284129563,45.757656242
15,0.18,0.181463842,45.832640781
15,0.12,0.062378666,45.865642341
15,0.08,-0.055298983,45.870475919
15,0.05,-0.193945624,45.859146885
15,0.03,-0.349574561,45.833949038
15,0.02,-0.477983168,45.806894337
15,0.012,-0.648221154,45.766202791
15,0.008,-0.792517397,45.730966747
15,0.005,-0.972724046,45.691724428
15,0.003,-1.184176668,45.659852091
15,0.002,-1.359313870,45.648047405
15,0.0,-2.537651895,46.894012206
16,1.0,0.242040270,47.936299178
16,0.7,0.209793278,47.755134470
16,0.5,0.156940251,47.972791017
16,0.35,0.092787550,47.972733841
16,0.25,0.003012275,47.917239326
16,0.18,-0.092546604,47.897968819
16,0.12,-0.216455734,47.897730226
16,0.08,-0.344973012,47.899722556
16,0.05,-0.497027070,47.895848608
16,0.03,-0.663901852,47.883999122
16,0.02,-0.796779362,47.870278060
16,0.012,-0.964207211,47.848970409
17,1.0,0.250587249,50.192162051
17,0.7,0.327989498,50.213348013
17,0.5,0.275674783,50.034427670
17,0.35,0.143323802,50.052521629
17,0.25,0.002358297,50.123137480
17,0.18,-0.140155820,50.153761086
17,0.12,-0.314478166,50.158462466
17,0.08,-0.483012971,50.150388172
17,0.05,-0.671412971,50.137635812
17,0.03,-0.870737414,50.123735797
17,0.02,-1.026995993,50.113032179
17,0.012,-1.223242937,50.099614358
17,0.008,-1.379388417,50.088723113
17,0.005,-1.561447312,50.075572692
17,0.003,-1.761117246,50.060440322
17,0.002,-1.921205356,50.047725821
18,1.0,0.264151190,52.517329879
18,0.7,0.547970269,52.552512075
18,0.5,0.563857504,52.720973739
18,0.35,0.368255855,52.751287381
18,0.25,0.132748573,52.658664555
18,0.18,-0.056648941,52.588175291
18,0.12,-0.249850597,52.543789432
18,0.08,-0.422220304,52.527966400
18,0.05,-0.613406628,52.527826985
18,0.03,-0.819424381,52.537955983
18,0.02,-0.983795608,52.549123917
18,0.012,-1.192670267,52.564209677
18,0.008,-1.359917068,52.575890932
18,0.005,-1.555248838,52.588475118
18,0.003,-1.769100594,52.600686013
18,0.002,-1.939842798,52.609250304
19,1.0,0.525262804,54.197292565
19,0.7,-0.229496937,54.465307199
19,0.5,-0.294757258,54.385931802
19,0.35,-0.010997228,54.295033906
19,0.25,0.214299884,54.287557957
19,0.18,0.334184092,54.278483737
19,0.12,0.390979866,54.278053469
19,0.08,0.402714800,54.289096170
19,0.05,0.397340390,54.307080601
19,0.03,0.387121752,54.325989795
19,0.02,0.380240116,54.338329900
19,0.012,0.374078003,54.349943395
19,0.0,0.364273989,54.370822082
20,1.0,0.339110075,55.606074946
20,0.7,0.777421144,55.227260567
20,0.5,0.639712100,55.211982115
20,0.35,0.345000827,55.306866269
20,0.25,0.160906106,55.385349680
20,0.18,0.014953065,55.449749704
20,0.12,-0.142941524,55.484938085
20,0.08,-0.297746636,55.485237780
20,0.05,-0.483061642,55.466397490
20,0.03,-0.692805345,55.439733497
20,0.02,-0.863879244,55.419758622
20,0.012,-1.082702325,55.398824456
20,0.008,-1.257606016,55.385960071
20,0.005,-1.460684587,55.374899989
20,0.003,-1.681194753,55.366904409
20,0.002,-1.855883927,55.363049021
21,1.0,0.250685741,57.723796961
21,0.7,0.321276398,57.823686447
21,0.5,0.398499819,57.837198801
21,0.35,0.288367955,57.773486692
21,0.25,0.092277178,57.764485900
21,0.18,-0.082530966,57.768118000
21,0.12,-0.270809560,57.781336632
21,0.08,-0.440690464,57.796797561
21,0.05,-0.625207662,57.812127006
21,0.03,-0.818355828,57.824979179
21,0.02,-0.969299077,57.833356611
21,0.012,-1.158599530,57.842943893
21,0.008,-1.309008238,57.850487315
21,0.005,-1.484074206,57.859689533
21,0.003,-1.675588391,57.870641983
21,0.002,-1.828685976,57.880215670
22,1.0,0.253461348,59.950655437
22,0.7,0.360958779,59.980385591
22,0.5,0.130571283,59.970939279
22,0.35,0.001322695,59.976487983
22,0.25,-0.036089869,59.965555940
22,0.18,-0.106130863,59.959567147
22,0.12,-0.223452814,59.958033780
22,0.08,-0.352600274,59.961391798
22,0.05,-0.505672943,59.970199365
22,0.03,-0.672134762,59.984288673
22,0.02,-0.803781592,59.998009936
22,0.012,-0.969159312,60.017890238
22,0.008,-1.100224923,60.035528726
22,0.005,-1.252087482,60.057988301
22,0.003,-1.417182045,60.084960319
22,0.002,-1.548315473,60.108434718
23,1.0,0.342629237,61.974966676
23,0.7,0.224694786,61.997922222
23,0.5,0.371367070,62.004836552
23,0.35,0.366038515,62.026844683
23,0.25,0.193001251,62.018046434
23,0.18,0.061919370,61.993012864
23,0.12,-0.064252997,61.964262189
23,0.08,-0.180689062,61.945835750
23,0.05,-0.315605119,61.936968495
23,0.03,-0.464828836,61.938045572
23,0.02,-0.585083235,61.943766400
23,0.012,-0.738297104,61.954236079
23,0.0,-2.629948338,61.587521456
24,1.0,0.502317169,63.583796418
24,0.7,0.659205226,63.653691128
24,0.5,0.497227689,63.754127264
24,0.35,0.297331067,63.635000759
24,0.25,0.329363749,63.566152379
24,0.18,0.304390023,63.548977088
24,0.12,0.231578423,63.557298350
24,0.08,0.147850357,63.576809821
24,0.05,0.050476585,63.604085047
24,0.03,-0.051146972,63.637923748
24,0.02,-0.126647579,63.668870846
24,0.012,-0.212135107,63.714569134
24,0.0,-0.349611238,63.973982407
25,1.0,0.330792277,64.873056228
25,0.7,0.086105001,64.795921077
25,0.5,0.066662540,64.668729957
25,0.35,0.160626737,64.808939957
25,0.25,0.085471271,64.891367114
25,0.18,0.028546096,64.934710943
25,0.12,-0.041840035,64.953110231
25,0.08,-0.125496623,64.948000694
25,0.05,-0.236595905,64.924108428
25,0.03,-0.368924840,64.882517232
25,0.02,-0.480558780,64.839817705
25,0.012,-0.629874760,64.774776581
25,0.008,-0.757429643,64.714965759
25,0.005,-0.919459683,64.639395798
25,0.003,-1.116276276,64.558258339
25,0.002,-1.284880793,64.502156514
26,1.0,0.255968233,67.075592186
26,0.7,0.375143295,66.950142700
26,0.5,0.316522598,67.006894194
26,0.35,0.171246582,66.951122996
26,0.25,0.050433891,66.961876947
26,0.18,-0.075053797,66.968605784
26,0.12,-0.231884278,66.970116956
26,0.08,-0.384515079,66.966672197
26,0.05,-0.555972120,66.958286854
26,0.03,-0.738184545,66.945977496
26,0.02,-0.881443443,66.934890841
26,0.012,-1.061697382,66.920030324
26,0.008,-1.205278596,66.907853532
26,0.005,-1.372758335,66.893560556
26,0.003,-1.556386754,66.878014514
26,0.002,-1.703460487,66.865782344
27,1.0,0.262212252,69.071542324
27,0.7,0.469340115,69.114742781
27,0.5,0.401007849,69.027094505
27,0.35,0.263183483,69.119927417
27,0.25,0.108132362,69.130779871
27,0.18,-0.051852200,69.129658189
27,0.12,-0.238241405,69.123011806
27,0.08,-0.407751648,69.116787197
27,0.05,-0.589711652,69.113710271
27,0.03,-0.778176461,69.114709402
27,0.02,-0.924630635,69.117523122
27,0.012,-1.107749931,69.122448780
27,0.008,-1.252986274,69.126918464
27,0.005,-1.421831158,69.132343987
27,0.003,-1.606320777,69.138276730
27,0.002,-1.753627216,69.142901320
28,1.0,0.376441231,71.161745651
28,0.7,0.129010937,71.631762770
28,0.5,-0.268802366,72.013705108
28,0.35,-0.078511619,72.270504974
28,0.25,0.191657926,72.393625511
28,0.18,0.310298690,72.429631769
28,0.12,0.344168769,72.413858756
28,0.08,0.335055512,72.380627012
28,0.05,0.311283586,72.340299598
28,0.03,0.287279144,72.301195869
28,0.02,0.273603489,72.275677829
28,0.012,0.262851020,72.251327796
28,0.0,0.250164467,72.207318070
29,1.0,0.443860813,72.492439774
29,0.7,0.437780332,72.113847611
29,0.5,0.662163747,71.753835852
29,0.35,0.367531853,71.457261847
29,0.25,0.148470305,71.319725776
29,0.18,0.037500467,71.242175823
29,0.12,-0.068856073,71.219922384
29,0.08,-0.183352200,71.237039450
29,0.05,-0.332873732,71.275567717
29,0.03,-0.512529245,71.323537002
29,0.02,-0.664544449,71.360101955
29,0.012,-0.863416508,71.400594609
29,0.008,-1.024243973,71.427679453
29,0.005,-1.211714255,71.454061395
29,0.003,-1.415297780,71.477877738
29,0.002,-1.576293877,71.494060619
30,1.0,0.395523024,73.940219892
30,0.7,0.435504410,73.860020046
30,0.5,0.527873439,73.832084958
30,0.35,0.533494085,73.820131573
30,0.25,0.292821315,73.845335589
30,0.18,0.090409844,73.896813203
30,0.12,-0.092009544,73.943594762
30,0.08,-0.243092720,73.967210691
30,0.05,-0.405960354,73.976870371
30,0.03,-0.579867219,73.976363450
30,0.02,-0.718483953,73.972290925
30,0.012,-0.894887914,73.965736299
30,0.008,-1.036412116,73.960732776
30,0.005,-1.201991293,73.956034695
30,0.003,-1.383554777,73.952833271
30,0.002,-1.528673030,73.951905442
31,1.0,0.252875734,75.905354833
31,0.7,0.374638528,75.926950272
31,0.5,0.324144688,76.100541512
31,0.35,0.125894125,76.028729088
31,0.25,0.041867021,75.964201542
31,0.18,-0.050693123,75.941981779
31,0.12,-0.177740566,75.945587363
31,0.08,-0.307182202,75.958867491
31,0.05,-0.455792092,75.973573885
31,0.03,-0.615157994,75.985939206
31,0.02,-0.740528876,75.993769667
31,0.012,-0.897658337,76.002459130
31,0.008,-1.022029758,76.009184108
31,0.005,-1.166020423,76.017417123
31,0.003,-1.322432361,76.027438419
31,0.002,-1.446564283,76.036496936
32,1.0,0.270284314,77.886448432
32,0.7,0.245110921,77.911533381
32,0.5,0.146474327,77.692439561
32,0.35,0.126065611,77.801971944
32,0.25,0.035852265,77.860527111
32,0.18,-0.055739658,77.881351076
32,0.12,-0.171405842,77.882874929
32,0.08,-0.290721748,77.876454388
32,0.05,-0.430690163,77.869230407
32,0.03,-0.582539364,77.864059247
32,0.02,-0.702341818,77.861556716
32,0.012,-0.852318193,77.859549550
32,0.008,-0.970659115,77.858355269
32,0.005,-1.107086771,77.856989216
32,0.003,-1.254398572,77.855160203
32,0.002,-1.370515700,77.853240444
32,0.0,-2.993532728,77.412587178
33,1.0,0.345555323,79.926642070
33,0.7,0.490585736,79.830927729
33,0.5,0.517004389,80.076145660
33,0.35,0.379581401,79.948121069
33,0.25,0.213115750,79.904428065
33,0.18,0.064250017,79.863327325
33,0.12,-0.092837527,79.821374248
33,0.08,-0.232076130,79.794657773
33,0.05,-0.384177127,79.778479631
33,0.03,-0.546234299,79.771979151
33,0.02,-0.674826090,79.771290295
33,0.012,-0.837837357,79.773013747
33,0.008,-0.968261908,79.775074195
33,0.005,-1.120644328,79.777249352
33,0.003,-1.287679917,79.778628517
33,0.002,-1.421265800,79.778653353
34,1.0,0.463738782,81.271847743
34,0.7,0.595102110,81.813950397
34,0.5,0.435375570,81.493872218
34,0.35,0.333556498,81.600964028
34,0.25,0.339280817,81.506346444
34,0.18,0.319849288,81.478253673
34,0.12,0.264640334,81.501718104
34,0.08,0.196198460,81.551525910
34,0.05,0.115842839,81.628223407
34,0.03,0.044654029,81.739324375
34,0.02,0.033216587,81.847929880
34,0.012,0.082561909,81.927731368
34,0.0,0.162699956,81.976854721
35,1.0,0.407405753,82.707455759
35,0.7,-0.024162282,82.221915537
35,0.5,-0.080372620,82.438926221
35,0.35,0.087241071,82.402464292
35,0.25,0.095761116,82.497734494
35,0.18,0.090942191,82.542132364
35,0.12,0.065127596,82.541960686
35,0.08,0.012632978,82.508063243
35,0.05,-0.074385061,82.440639750
35,0.03,-0.200400233,82.332117810
35,0.02,-0.349970101,82.222210287
35,0.012,-0.603501906,82.138363891
35,0.008,-0.794648931,82.111748230
35,0.005,-1.001013526,82.094006534
35,0.003,-1.213821637,82.080819014
35,0.002,-1.377260266,82.072453953
36,1.0,0.294009018,84.400703516
36,0.7,0.460256405,84.361271359
36,0.5,0.531730425,84.306930028
36,0.35,0.274085919,84.324869594
36,0.25,0.129394839,84.374090568
36,0.18,-0.006439636,84.402014824
36,0.12,-0.168225920,84.417866234
36,0.08,-0.318846797,84.422589386
36,0.05,-0.483788177,84.420555628
36,0.03,-0.657146537,84.413432375
36,0.02,-0.792989932,84.405895261
36,0.012,-0.963698622,84.395334502
36,0.008,-1.099526754,84.386683570
36,0.005,-1.257733698,84.376774647
36,0.003,-1.430814658,84.366456538
36,0.002,-1.569088933,84.358740231
37,1.0,0.263093337,86.418954564
37,0.7,0.378243179,86.435226512
37,0.5,0.305209664,86.427836016
37,0.35,0.281052725,86.461072054
37,0.25,0.136193565,86.435908017
37,0.18,-0.014337776,86.421808802
37,0.12,-0.187401631,86.418540105
37,0.08,-0.346101814,86.420710410
37,0.05,-0.516490471,86.425038713
37,0.03,-0.691775338,86.430412513
37,0.02,-0.827090518,86.434919156
37,0.012,-0.995452180,86.440821594
37,0.008,-1.128523127,86.445662207
37,0.005,-1.282879031,86.451427471
37,0.003,-1.451249125,86.457862429
37,0.002,-1.585539977,86.463082901
38,1.0,0.295725257,88.310826306
38,0.7,0.440637252,88.479027567
38,0.5,0.301096298,88.620867968
38,0.35,0.140212140,88.429157052
38,0.25,0.067829639,88.380400609
38,0.18,-0.009722565,88.361025833
38,0.12,-0.115655257,88.354659885
38,0.08,-0.228451128,88.361458032
38,0.05,-0.365411040,88.378012364
38,0.03,-0.519495489,88.401360408
38,0.02,-0.644674230,88.422072024
38,0.012,-0.805460996,88.449656451
38,0.008,-0.935364926,88.472102679
38,0.005,-1.088335038,88.498168986
38,0.003,-1.257296174,88.526036757
38,0.002,-1.393220026,88.547532902
39,1.0,0.511327861,89.999828965
39,0.7,-0.019251844,89.962695446
39,0.5,0.275112599,89.893123658
39,0.35,0.266468502,90.083761685
39,0.25,0.218165308,90.056014667
39,0.18,0.209092731,90.019706623
39,0.12,0.195688750,89.988533492
39,0.08,0.164878022,89.970851970
39,0.05,0.114781003,89.966609132
39,0.03,0.055232743,89.977174042
39,0.02,0.010460396,89.993254237
39,0.012,-0.037682006,90.019221873
39,0.0,-0.126516490,90.130915980
40,1.0,0.359353488,91.157288626
40,0.7,0.757046458,91.043541795
40,0.5,0.291265219,91.018624828
40,0.35,0.326116274,90.976387868
40,0.25,0.341583643,91.043895825
40,0.18,0.275114640,91.086281558
40,0.12,0.157637987,91.107546784
40,0.08,0.037520402,91.110084605
40,0.05,-0.097400187,91.098284885
40,0.03,-0.243244619,91.074031611
40,0.02,-0.361834762,91.049437689
40,0.012,-0.517867823,91.015048126
40,0.008,-0.648242019,90.987689729
40,0.005,-0.806545003,90.959174847
40,0.003,-0.985234603,90.935148856
40,0.002,-1.129787559,90.922159211
41,1.0,0.379809249,92.752849057
41,0.7,0.237027447,92.826267636
41,0.5,0.516664649,92.786232636
41,0.35,0.334652734,92.754024856
41,0.25,0.163775064,92.758311044
41,0.18,0.042725432,92.776172541
41,0.12,-0.075730531,92.803348473
41,0.08,-0.184329998,92.825569476
41,0.05,-0.309513069,92.841466308
41,0.03,-0.447254274,92.849125103
41,0.02,-0.557661524,92.850688886
41,0.012,-0.697594420,92.849560788
41,0.008,-0.809025277,92.847454678
41,0.005,-0.938319243,92.844604513
41,0.003,-1.078717711,92.841737187
41,0.002,-1.189868727,92.840008882
41,0.0,-2.821342532,93.299931350
42,1.0,0.266002681,94.630158298
42,0.7,0.351578712,94.543794794
42,0.5,0.083948078,94.583480399
42,0.35,0.053646263,94.650441913
42,0.25,0.018476495,94.634980581
42,0.18,-0.047002110,94.625064483
42,0.12,-0.147643145,94.619746665
42,0.08,-0.257973384,94.615041742
42,0.05,-0.390208409,94.608809121
42,0.03,-0.535134797,94.601144395
42,0.02,-0.650027043,94.594445022
42,0.012,-0.794332544,94.585212508
42,0.008,-0.908569811,94.577220989
42,0.005,-1.040749965,94.567163747
42,0.003,-1.184206123,94.555166968
42,0.002,-1.297958656,94.544759301
43,1.0,0.257020425,96.510449092
43,0.7,0.379832598,96.513389293
43,0.5,0.391633444,96.447042944
43,0.35,0.294260558,96.393691559
43,0.25,0.151451834,96.453791023
43,0.18,0.017210112,96.480543077
43,0.12,-0.136556945,96.474766917
43,0.08,-0.278444199,96.458595734
43,0.05,-0.432680175,96.442728546
43,0.03,-0.593349965,96.431322303
43,0.02,-0.718363724,96.425304197
43,0.012,-0.874595258,96.419809910
43,0.008,-0.998360790,96.416237490
43,0.005,-1.142054506,96.412338853
43,0.003,-1.298842242,96.407940755
43,0.002,-1.423895035,96.404124103
44,1.0,0.464701972,98.325744802
44,0.7,0.542811461,98.426598542
44,0.5,0.685636477,98.412371074
44,0.35,0.517965649,98.532683290
44,0.25,0.302383407,98.472991909
44,0.18,0.131498565,98.399536959
44,0.12,-0.036164470,98.354299027
44,0.08,-0.180780312,98.339623196
44,0.05,-0.336898156,98.339979127
44,0.03,-0.502319123,98.349478073
44,0.02,-0.633446595,98.359736232
44,0.012,-0.799756445,98.373525909
44,0.008,-0.932859463,98.384159452
44,0.005,-1.088274117,98.395523645
44,0.003,-1.258314518,98.406367204
44,0.002,-1.393934942,98.413778282
45,1.0,0.355204081,99.657924693
45,0.7,-0.074976010,99.973905840
46,1.0,0.472541804,100.876828486
46,0.7,0.590495782,100.445319456
46,0.5,0.773800295,100.604638030
46,0.35,0.479240365,100.603833374
46,0.25,0.237888040,100.712239600
46,0.18,0.117761801,100.798827080
46,0.12,0.003807547,100.825139774
46,0.08,-0.112967934,100.811277407
46,0.05,-0.258119354,100.781607838
46,0.03,-0.424963556,100.747997958
46,0.02,-0.562024977,100.723704739
46,0.012,-0.738308723,100.697415470
46,0.008,-0.879787776,100.680073302
46,0.005,-1.044428188,100.663517113
46,0.003,-1.223361092,100.649184750
46,0.002,-1.365071085,100.640035342
47,1.0,0.274142031,102.691003365
47,0.7,0.460891461,102.675782570
47,0.5,0.420081673,102.684614475
47,0.35,0.327516656,102.662947090
47,0.25,0.193422013,102.657213687
47,0.18,0.047083382,102.657959363
47,0.12,-0.124132569,102.670274553
47,0.08,-0.277839247,102.683619484
47,0.05,-0.439760207,102.693777802
47,0.03,-0.605183674,102.698867511
47,0.02,-0.732893967,102.700145705
47,0.012,-0.892055663,102.699942098
47,0.008,-1.018035037,102.699113691
47,0.005,-1.164278168,102.697959221
47,0.003,-1.323838766,102.696851383
47,0.002,-1.451077262,102.696248880
48,1.0,0.280091319,104.470258473
48,0.7,0.380700105,104.533434348
48,0.5,0.256372850,104.586623187
48,0.35,0.170000493,104.581002740
48,0.25,0.087623729,104.537234026
48,0.18,-0.009913125,104.522858002
48,0.12,-0.139666761,104.525671964
48,0.08,-0.269721583,104.535732586
48,0.05,-0.416812381,104.548057915
48,0.03,-0.572459705,104.560288452
48,0.02,-0.693987019,104.569391886
48,0.012,-0.845845763,104.580647646
48,0.008,-0.966057025,104.589685079
48,0.005,-1.105544658,104.600458885
48,0.003,-1.257700093,104.612649305
48,0.002,-1.379062484,104.622727848
49,1.0,0.347901223,106.336798588
49,0.7,0.234665321,106.459823057
49,0.5,0.322404334,106.387793767
49,0.35,0.222867002,106.320671700
49,0.25,0.098886679,106.325725733
49,0.18,0.009515844,106.318323851
49,0.12,-0.082553558,106.309126464
49,0.08,-0.173738674,106.306077501
49,0.05,-0.285820259,106.309901082
49,0.03,-0.414104264,106.320582595
49,0.02,-0.518813675,106.332457165
49,0.012,-0.652805652,106.350503422
49,0.008,-0.760234287,106.366755624
49,0.005,-0.885648045,106.387387390
49,0.003,-1.022897282,106.411790689
49,0.002,-1.132518293,106.432571595
50,1.0,0.346158809,107.942459428
50,0.7,0.472627402,107.820421029
50,0.5,0.265641152,107.923684555
50,0.35,0.237369230,108.049928481
50,0.25,0.239503523,108.022248806
50,0.18,0.196726345,107.988089414
