n,gamma
1,4.475738283729
2,6.845491712491
3,11.160184543120
4,12.489603343033
5,15.112882258744
6,16.802876475729
7,19.611878056690
8,21.899913703318
9,23.162971799737
10,24.498847555356
11,27.361477519001
12,29.178879666363
13,30.721899644548
14,32.475887591542
15,34.111240783037
16,35.311847458978
17,38.364637336031
18,39.482578746662
19,40.710328651654
20,42.304857587643
21,43.931854287427
22,46.194327427406
23,47.298585340277
24,49.235894262416
25,50.983099434948
26,51.296631458427
27,53.246556716449
28,55.639330768799
29,57.012687073640
30,58.281923096112
31,59.206201945629
32,61.356287385983
33,62.324608617366
34,64.103261131231
35,66.126640192126
36,67.149320310243
37,68.614855143820
38,69.618030821397
39,70.829902336759
40,73.406720929512
41,74.547140922264
42,75.465732176026
43,77.242745429813
44,78.494846517302
45,79.582509767099
46,81.064150238780
47,82.874742376285
48,84.700627931748
49,85.594741477041
50,86.478453083226
51,87.825015272949
52,89.576403137472
53,90.984722411013
54,92.779639034817
55,93.443685425393
56,95.220606704035
57,96.356298690371
58,97.665110120175
59,98.198032230371
60,100.935985080970
61,102.039107553870
62,103.050247098166
63,104.265426368321
64,105.427501287708
65,106.763444277516
66,108.378725340935
67,109.603524242231
68,110.977035782058
69,112.804420712861
70,113.396267143105
71,114.589857621378
72,115.675510415557
73,117.171903423055
74,119.253834890075
75,120.200035385450
76,121.286240022852
77,122.148499092480
78,124.138259395242
79,124.801568020389
80,125.951146805688
81,127.736292005880
82,129.341141261873
83,130.226074822939
84,131.668862178255
85,132.429291655568
86,133.302911510976
87,135.156722029647
88,136.995379746301
89,137.519301386865
90,139.057029172719
91,140.258865698567
92,141.420014990652
93,142.531248432635
94,143.584901603926
95,144.820532539013
96,146.967847415506
97,147.998796532598
98,148.780646492736
99,149.746569640419
100,151.121020490105
101,152.414119774019
102,153.557427765201
103,155.404984301242
104,156.054399213862
105,157.468475587425
106,159.051220835731
107,159.617059070885
108,160.755071582812
109,161.604939574087
110,163.954925047149
111,164.789401322036
112,166.267829802596
113,166.844330671605
114,168.155086438803
115,169.228960137501
116,170.829894022392
117,171.524109205333
118,173.006387330568
119,174.617045945606
120,175.792239121414
121,176.640610762733
122,177.550970233199
123,178.929980419828
124,179.578976034004
125,181.687932340373
126,183.039887399171
127,183.755510414274
128,184.662396252807
129,186.265786932745
130,187.441310178865
131,188.048576007562
132,189.286584788613
133,190.836408498742
