n,gamma
134,192.329556964348
135,193.425976810479
136,194.518974544360
137,195.354611872835
138,196.039200453603
139,197.792863396353
140,198.971780750118
141,200.315973355083
142,201.343829788952
143,202.684144417264
144,203.578909057587
145,204.859930502788
146,205.962218390611
147,206.560618751490
148,207.849393800276
149,210.045646176894
150,210.991326157374
151,211.445137827250
152,212.919994793045
153,213.678166237591
154,215.222130364642
155,215.910533227551
156,217.558383970614
157,218.672691448069
158,219.655441419082
159,221.417008577358
160,221.993468186256
161,223.152296950960
162,223.736469254911
163,225.084458540573
164,226.679493853843
165,228.048902060027
166,229.061351647886
167,230.081227900798
168,230.712120496568
169,232.305648956792
170,233.352528479719
171,234.361103499844
172,235.106117589420
173,237.132110244007
174,238.103421147785
175,239.348309663569
176,239.913879889126
177,241.314917504667
178,241.886737728898
179,243.092759404177
180,245.006212905188
181,245.859729995763
182,246.970127342688
183,247.777040083556
184,249.446856670065
185,250.165419309681
186,251.013510056137
187,252.279796401167
188,253.135187356276
189,254.927042056991
190,256.182647799403
191,257.247613119399
192,257.831215570576
193,258.699892425619
194,260.068026085302
195,261.381232033320
196,262.143397352738
197,263.725681352137
198,264.768163346790
199,265.817490926027
200,266.938416287678
201,268.150903120868
202,268.999102194599
203,269.588525825875
204,270.802782433717
205,272.884293829441
206,273.756874179584
207,274.524348301696
208,275.675347953980
209,276.694631882850
210,277.576129659462
211,279.047141423815
212,279.678685565448
213,281.258507351030
214,281.957109358259
215,283.956892146267
216,284.458786481476
217,285.612693651620
218,286.279743084777
219,287.359342275547
220,288.491883672455
221,289.787510780624
222,291.414260894364
223,292.253525354516
224,292.936425059994
225,294.066030891766
226,295.410721038676
227,296.552231312513
228,297.019893905816
229,298.060106607415
230,299.724317619210
231,301.149441180119
232,301.828416672839
233,303.178748117820
234,303.724013073472
235,304.769553390289
236,305.626362908673
237,307.264406408499
238,308.341157743554
239,309.337174466117
240,310.482080734387
241,311.532390355936
242,312.903872994968
243,313.332610340184
244,314.567654392993
245,315.659736344246
246,316.165124151823
247,318.302557832854
248,319.433558976207
249,320.186162787310
250,321.005711659454
251,321.804536822178
252,323.446678097378
253,324.010811440424
254,325.215176207243
255,326.378230321989
256,327.792459732979
257,328.479349328927
258,329.895768479524
259,331.197083263486
260,331.366329339868
261,332.643762877919
262,333.252219908919
263,335.007050323858
264,336.419130674274
265,337.119997049481
266,338.317113797778
267,339.177475891816
268,339.992782023631
269,341.378163123567
270,342.285714101926
271,343.271647848197
272,344.064562655984
273,345.693158974922
274,347.204205627868
275,347.736712078353
276,348.508494710496
277,349.919091279358
278,350.265177584100
279,351.656369848589
280,352.705050288546
281,354.426436893521
282,355.217568491839
283,355.792726173533
284,357.178912652081
285,358.356844362324
286,359.273426716487
287,360.023849759676
288,360.803582536127
289,362.224166881448
290,363.578233830858
291,364.867814409234
292,365.691781180840
293,366.548920141456
294,367.435579208696
295,368.122090448056
296,369.843152329848
297,370.542396839623
298,371.644432922153
299,372.950499853700
300,373.927752393591
301,375.135346708193
302,375.898070108049
303,377.060690551290
304,377.835141505732
305,378.722754125008
306,379.491163611394
307,381.826011722325
308,382.195457389972
309,383.620579521285
310,383.825903955834
311,385.235386241872
312,386.353406730001
313,387.153030206319
314,388.179357425457
315,389.337096893969
316,390.381521288936
317,391.605741709074
318,392.819336858076
319,393.935993236136
320,394.529961097995
321,395.103196766617
322,396.463309659967
323,397.343552270771
324,398.927342896248
325,399.807019572146
326,401.198076218768
327,401.713621241388
328,402.593217377920
329,403.971185169787
330,404.961460409169
331,405.826212560184
332,406.438829547417
333,407.661134523048
334,409.671521377374
335,410.052732587020
336,411.236458446969
337,412.028037662051
338,413.058614357674
339,413.739276000491
340,414.871372391117
341,416.166697495349
342,417.396170382119
343,418.320246037118
344,419.046511586734
345,420.561702238044
346,421.442344273644
347,422.224940756106
348,423.165859772472
349,423.988006259469
350,425.054918114578
351,426.367166542079
352,428.075579804861
353,428.520550025671
354,429.472465422876
355,430.241260275684
356,431.188585175427
357,432.596756865115
358,433.577068612438
359,433.985634590674
360,435.717065759981
361,436.630004348419
362,437.709764060469
363,438.841843004514
364,439.600036370370
365,440.745772642832
366,441.320782212287
367,441.947136706587
368,443.705917239819
369,445.057977617797
370,445.904679509622
371,446.576523341039
372,447.864149431228
373,448.525259230231
374,449.848394086674
375,450.452434079832
376,451.863416539052
377,452.307825503645
378,453.632187733048
379,455.097268334256
380,456.275786990874
381,456.871082322075
382,457.652645364966
383,458.519151710364
384,459.658430295651
385,460.573215109128
386,461.724655467511
387,463.196281976306
388,463.903960420132
389,465.086003784607
390,465.447399346493
391,467.283636572653
392,467.904207011121
393,468.545178733268
394,469.625308474606
395,470.356766293910
396,472.277221621164
397,473.125938438619
398,473.984531990419
399,475.211283552126
400,475.672748428566
401,476.546124042573
402,477.711433024155
403,478.849814196851
404,479.925976006961
405,480.773153125524
406,481.913920178501
407,483.125512172483
408,484.110460068961
409,484.906803229951
410,485.826129591401
411,486.660556016528
412,487.675713451511
413,488.328708526999
414,490.261708556985
415,491.318076544758
416,492.019075571716
417,492.639772120095
418,493.726936923149
419,494.879786124680
420,495.881835920857
421,496.689885008736
422,497.411457078275
423,499.073265800769
424,499.688679089089
425,501.148381826018
426,502.071689073550
427,502.894233539215
428,503.864615136999
429,504.253641641456
430,505.371252109079
431,506.882488511695
432,507.813389833542
433,508.974707831795
434,509.982776942593
435,510.550261564644
436,512.048881095607
437,512.330278090660
438,514.065928120420
439,514.410871078368
440,515.310995854949
441,516.316173573636
442,518.050953395878
443,519.197016479012
444,519.638564949679
445,520.556265201483
446,521.518821079568
447,522.440314597802
448,523.321014773058
449,524.421042994679
450,525.628942024902
451,526.854102725836
452,527.446317480576
453,528.425206878376
454,529.869566945982
455,530.621433373883
456,531.391297872259
457,532.064562254438
458,533.159283346408
459,534.140292910096
460,535.820179885350
461,536.526379010123
462,537.716260250688
463,538.502320882879
464,538.928268433898
465,540.080589773436
466,541.562344103153
467,541.981250532747
468,543.232119276000
469,543.933841204963
470,545.562460540517
471,546.362000181788
472,547.308851461321
473,548.330567659730
474,549.047730788006
