n,gamma,K,sigma_K,gamma_K,status
0,4.475738283729,448,0.500006668,4.477769610,ok
0,4.475738283729,317,0.500006922,4.478608560,ok
0,4.475738283729,224,0.500004881,4.479799342,ok
0,4.475738283729,159,0.499997533,4.481458035,ok
0,4.475738283729,112,0.499978198,4.483856028,ok
0,4.475738283729,79,0.499934916,4.487244736,ok
0,4.475738283729,56,0.499847755,4.491972468,ok
0,4.475738283729,37,0.499637029,4.500340731,ok
0,4.475738283729,20,0.499015249,4.521662197,ok
0,4.475738283729,14,0.498753872,4.542292726,ok
0,4.475738283729,10,0.499817715,4.571207875,ok
0,4.475738283729,7,0.506743328,4.617282450,ok
0,4.475738283729,5,0.529997035,4.680491534,ok
0,4.475738283729,4,0.565382575,4.732469624,ok
0,4.475738283729,3,0.652897927,4.797986022,ok
1,6.845491712491,448,0.500815218,6.847829103,ok
1,6.845491712491,317,0.501149040,6.848796934,ok
1,6.845491712491,224,0.501620253,6.850173091,ok
1,6.845491712491,159,0.502272015,6.852094720,ok
1,6.845491712491,112,0.503206210,6.854882367,ok
1,6.845491712491,79,0.504514209,6.858840392,ok
1,6.845491712491,56,0.506326762,6.864397476,ok
1,6.845491712491,37,0.509552461,6.874326289,ok
2,11.160184543120,448,0.498614279,11.163598684,ok
2,11.160184543120,317,0.498032999,11.165000456,ok
2,11.160184543120,224,0.497198418,11.166982727,ok
2,11.160184543120,159,0.496016288,11.169731184,ok
2,11.160184543120,112,0.494263971,11.173683277,ok
2,11.160184543120,79,0.491691606,11.179238862,ok
2,11.160184543120,56,0.487889268,11.186971409,ok
2,11.160184543120,37,0.480432007,11.200796278,ok
3,12.489603343033,448,0.501147641,12.493634717,ok
3,12.489603343033,317,0.501610047,12.495308508,ok
3,12.489603343033,224,0.502255992,12.497694231,ok
3,12.489603343033,159,0.503137634,12.501039069,ok
3,12.489603343033,112,0.504381289,12.505925772,ok
3,12.489603343033,79,0.506094810,12.512953785,ok
3,12.489603343033,56,0.508453286,12.523056680,ok
3,12.489603343033,37,0.512820419,12.542079501,ok
4,15.112882258744,448,0.499723320,15.117061503,ok
4,15.112882258744,317,0.499593661,15.118787715,ok
4,15.112882258744,224,0.499394672,15.121240197,ok
4,15.112882258744,159,0.499089026,15.124664905,ok
4,15.112882258744,112,0.498590669,15.129645493,ok
4,15.112882258744,79,0.497778296,15.136778754,ok
4,15.112882258744,56,0.496450998,15.147023924,ok
4,15.112882258744,37,0.493682637,15.166563423,ok
5,16.802876475729,448,0.501686001,16.807253532,ok
5,16.802876475729,317,0.502370121,16.809073719,ok
5,16.802876475729,224,0.503330904,16.811671448,ok
5,16.802876475729,159,0.504652799,16.815320957,ok
5,16.802876475729,112,0.506540790,16.820670945,ok
5,16.802876475729,79,0.509194627,16.828411182,ok
5,16.802876475729,56,0.512971537,16.839658144,ok
5,16.802876475729,37,0.520499243,16.861339867,ok
6,19.611878056690,448,0.499404885,19.616861733,ok
6,19.611878056690,317,0.499139647,19.618918116,ok
6,19.611878056690,224,0.498743202,19.621838184,ok
6,19.611878056690,159,0.498150933,19.625914007,ok
6,19.611878056690,112,0.497208859,19.631841170,ok
6,19.611878056690,79,0.495693151,19.640341188,ok
6,19.611878056690,56,0.493183086,19.652617593,ok
6,19.611878056690,37,0.487530875,19.676627230,ok
7,21.899913703318,448,0.496645764,21.905406264,ok
7,21.899913703318,317,0.495227756,21.907649338,ok
7,21.899913703318,224,0.493177971,21.910813840,ok
7,21.899913703318,159,0.490241859,21.915195023,ok
7,21.899913703318,112,0.485803905,21.921505870,ok
7,21.899913703318,79,0.479055668,21.930474861,ok
7,21.899913703318,56,0.468417864,21.943410857,ok
7,21.899913703318,37,0.444533619,21.969852528,ok
8,23.162971799737,448,0.501343053,23.169167507,ok
8,23.162971799737,317,0.501852712,23.171754581,ok
8,23.162971799737,224,0.502534507,23.175466050,ok
8,23.162971799737,159,0.503408512,23.180734129,ok
8,23.162971799737,112,0.504531398,23.188619403,ok
8,23.162971799737,104,0.504798831,23.190736070,ok
8,23.162971799737,79,0.505877206,23.200526013,ok
8,23.162971799737,73,0.506211497,23.204056846,ok
8,23.162971799737,56,0.507439500,23.219410203,ok
8,23.162971799737,52,0.507836253,23.225022493,ok
8,23.162971799737,37,0.511223142,23.264634298,ok
8,23.162971799737,26,0.537877703,23.363406616,ok
8,23.162971799737,19,0.765001399,23.579707404,ok
8,23.162971799737,13,1.185861944,22.600349922,ok
9,24.498847555356,448,0.503774687,24.504321882,ok
9,24.498847555356,317,0.505324805,24.506621605,ok
9,24.498847555356,224,0.507524529,24.509928093,ok
9,24.498847555356,159,0.510603378,24.514623592,ok
9,24.498847555356,112,0.515134508,24.521620187,ok
9,24.498847555356,79,0.521865104,24.532007699,ok
9,24.498847555356,56,0.532520417,24.547747969,ok
9,24.498847555356,37,0.560178781,24.580119697,ok
10,27.361477519001,448,0.498587600,27.367491485,ok
10,27.361477519001,317,0.497970853,27.369969440,ok
10,27.361477519001,224,0.497059352,27.373488304,ok
10,27.361477519001,159,0.495713774,27.378407155,ok
10,27.361477519001,112,0.493594292,27.385597402,ok
10,27.361477519001,79,0.490186808,27.396062119,ok
10,27.361477519001,56,0.484428523,27.411807236,ok
10,27.361477519001,37,0.471219064,27.447629022,ok
11,29.178879666363,448,0.498351631,29.185470344,ok
11,29.178879666363,317,0.497621273,29.188187972,ok
11,29.178879666363,224,0.496530886,29.192053663,ok
11,29.178879666363,159,0.494898296,29.197478171,ok
11,29.178879666363,112,0.492273310,29.205476657,ok
11,29.178879666363,79,0.487919573,29.217348148,ok
11,29.178879666363,56,0.480204647,29.236041085,ok
11,29.178879666363,37,0.461737749,29.284603701,ok
12,30.721899644548,448,0.500631063,30.728935199,ok
12,30.721899644548,317,0.500838996,30.731865688,ok
