n,gamma,a1_re,a1_im
116,202.354900753127,7.48421187e+00,5.74288062e+00
117,204.341566860435,-7.90082869e-01,5.20296536e+00
118,206.044349753669,-4.79121775e+00,6.20400602e+00
119,207.140302536268,-9.90737115e-02,9.12985899e+00
120,208.239005690982,2.29361706e+00,6.22478586e+00
121,209.681812464747,-1.77658191e+00,6.99743152e+00
122,210.868807593637,1.46202383e+00,9.25258977e+00
123,211.984134746517,5.19928579e+00,4.35624372e+00
124,214.575936417903,-1.99140048e+01,7.35804295e-01
125,214.921126188652,1.57896799e+01,1.38039636e+01
126,216.751745568453,-1.82551073e+00,6.05543157e+00
127,217.955809966512,-3.00604442e+00,8.16044280e+00
128,218.877069206881,4.13453122e+00,8.53641562e+00
129,220.251865356446,2.97392313e+00,6.29752455e+00
130,221.895406284374,9.77137158e-02,5.96813994e+00
131,223.547587458248,-2.90024593e+00,6.57986627e+00
132,224.825568423127,-1.17953876e+00,8.01499925e+00
133,226.113045751289,-1.56623899e+00,7.80129123e+00
134,227.163954811853,9.33888052e-01,8.41930676e+00
135,228.310362968067,3.05080480e+00,7.31018080e+00
136,229.860320759958,2.85615871e-01,7.57664535e+00
137,231.112666766788,2.82056064e+00,5.82674173e+00
138,233.247327885644,-8.94242159e+00,4.54209583e+00
139,234.062185827723,1.90812143e+00,1.22424435e+01
140,235.190183680595,3.16988172e+00,6.55201675e+00
141,236.667423278931,-2.76953468e+00,7.11744270e+00
142,237.799847538519,4.53820750e-01,1.11607324e+01
143,238.781519275041,6.95528560e+00,4.81779170e+00
144,240.954621619925,-4.31628962e+00,5.45561914e+00
145,242.135551632678,-1.40566005e+00,8.93236559e+00
146,243.490322225724,-1.87033697e+00,9.03738691e+00
147,244.456220186348,2.95913162e+00,6.79251412e+00
148,246.302824434501,-6.47905808e+01,1.71712406e+01
149,246.414896476564,6.74642119e+01,7.38916177e-01
150,248.391247539970,1.14447370e+00,5.96023007e+00
151,250.156285744909,-4.49177905e+00,6.94394470e+00
152,251.207296474379,1.76633813e+00,8.47837627e+00
153,252.933350897017,-7.62818026e+00,7.15503210e+00
154,253.682825985490,3.44885090e+00,1.12099023e+01
155,254.760087744231,4.01701822e+00,7.09772527e+00
156,256.413288291284,-3.33171430e+00,9.68489391e+00
157,257.281084587224,7.09079479e+00,6.28661259e+00
158,259.273197416329,-2.96974767e+00,6.01413173e+00
159,260.669022225815,-4.75721220e+00,8.67214511e+00
160,261.733190004625,5.26726276e-01,1.03033737e+01
161,262.841360384073,1.64525833e+00,7.85018904e+00
162,264.092725133263,-1.89291458e-01,8.38805458e+00
163,265.405491697318,-4.61369907e-01,1.12134308e+01
164,266.346768813515,7.26226870e+00,5.18594333e+00
165,268.533404809193,-5.67402033e+00,5.21042829e+00
166,269.763347529030,-7.23062712e+00,1.25556018e+01
167,270.483792661486,8.90241294e+00,7.42391455e+00
168,272.454700146476,-1.64742319e+01,4.36244387e+00
169,272.870099174117,1.30988221e+01,1.51519667e+01
170,274.207589014293,4.62248179e+00,7.64275303e+00
171,275.723203495208,1.34568590e+00,6.79349345e+00
172,277.392264556036,-3.49159853e+00,7.37656995e+00
173,278.594783147111,-6.81817141e-01,9.14736332e+00
174,280.028875466697,-4.75134934e+00,9.30830264e+00
175,280.879711871717,3.30474776e+00,9.42521419e+00
176,282.210884369933,-1.68158829e+00,1.02881545e+01
177,283.161229168161,5.99874551e+00,8.19060130e+00
178,284.793205517568,-1.41298281e-01,8.01094480e+00
179,286.067176790720,1.62286091e+00,7.22087811e+00
180,287.985725291945,-1.14203856e+01,5.80610999e+00
181,288.710102831769,3.75914339e+00,1.45850888e+01
182,289.819631386501,3.40752701e+00,7.90286100e+00
183,291.149716012312,-1.15566684e+00,8.25561191e+00
184,292.499400472564,-5.29611645e+00,1.49156448e+01
185,293.146157971230,1.28718802e+01,3.82709316e+00
186,295.405273413190,-5.63636440e+00,5.77570014e+00
187,296.523783545687,-2.65480887e+00,1.10344912e+01
188,297.693253493865,5.52768264e-01,1.02706684e+01
189,298.885852645719,-1.78027110e-01,8.58405806e+00
190,300.044241112508,-1.30122047e+00,9.92102172e+00
191,301.194849827991,1.08390587e+00,1.28101334e+01
192,302.147793843267,7.97329480e+00,5.64037889e+00
193,304.234598785248,-5.93256790e+00,6.53895036e+00
194,305.266717757777,-2.30477590e-03,1.10374967e+01
195,306.574640131823,-2.19961838e-01,8.90410088e+00
196,308.056416853186,-1.17267375e+01,9.59920093e+00
197,308.596026097826,1.05196738e+01,1.22019925e+01
198,309.913165987785,3.10961309e+00,8.61443580e+00
199,311.399712605129,-9.68710036e-01,1.01452275e+01
200,312.437670042188,5.15319602e+00,7.14370741e+00
201,314.508985165246,-1.07623302e+01,5.78756310e+00
202,315.247800825845,3.81477386e+00,1.33851251e+01
203,316.747867988882,-6.30305715e+00,1.11379508e+01
204,317.409990102487,7.87674207e+00,8.85977571e+00
205,318.992901346549,-4.66746466e+00,1.06152750e+01
206,319.883553923763,6.59632429e+00,1.09110612e+01
207,321.223850451591,3.88463565e+00,6.82879782e+00
208,323.088370051147,-5.55880902e+00,6.45605197e+00
209,324.475072838128,-2.07385063e+01,1.55920231e+01
210,324.868227719328,2.18355200e+01,8.05823542e+00
211,326.674899828116,-5.60179927e+00,6.91834357e+00
212,327.689912646510,-5.65647726e+00,1.69417615e+01
213,328.379149076549,1.36189223e+01,7.44320233e+00
214,330.058076297175,1.30751429e+00,7.29442689e+00
215,331.709835052047,-5.31582801e+00,8.31331398e+00
216,332.761085850638,6.96549930e-01,1.09208642e+01
217,334.228126634867,-5.41809585e+00,1.01066669e+01
218,335.109040429704,2.22138096e+00,1.12790459e+01
219,336.293879137474,-6.74612176e-01,1.13351645e+01
220,337.323117595179,4.49011238e+00,1.08901652e+01
221,338.613733673156,3.43673512e+00,8.48018962e+00
222,340.168912723446,-1.37924106e+00,8.52419260e+00
223,341.473818484650,-1.13809232e+00,9.03557592e+00
224,343.051787541586,-1.22582182e+01,9.44842717e+00
225,343.734835777424,6.23007373e+00,1.57115505e+01
226,344.740561672194,5.38151216e+00,7.74564428e+00
227,346.404559348578,-1.08863783e+01,1.16206344e+01
228,347.045134037714,1.24373695e+01,1.20665799e+01
229,348.441096484347,4.37256098e+00,6.60433536e+00
230,350.558843705000,-1.59512887e+01,3.90255758e+00
231,351.146432574537,7.01809186e+00,1.78655248e+01
232,352.476789564989,8.58286053e-01,9.96167769e+00
233,353.721305268879,-3.67697778e+00,1.02010306e+01
234,354.628808934632,2.78468058e+00,1.22254704e+01
235,355.928715348460,2.57395188e-01,1.38852323e+01
236,356.819583974127,9.07829416e+00,6.00534270e+00
237,358.989504346121,-1.10978994e+01,6.05428461e+00
238,359.739911415335,3.76408205e+00,1.45506380e+01
239,361.148528692098,-1.64329453e+00,1.03876809e+01
