n,gamma,a1_re,a1_im
1,4.475738283729,4.96660835e-03,9.10465947e-01
2,6.845491712491,3.67739672e-01,1.04572641e+00
3,11.160184543120,-6.14483311e-01,1.53714732e+00
4,12.489603343033,5.23957780e-01,1.80074991e+00
5,15.112882258744,-1.11903919e-01,1.87423820e+00
6,16.802876475729,7.66162149e-01,1.95319915e+00
7,19.611878056690,-2.51997407e-01,2.23693626e+00
8,21.899913703318,-1.48048720e+00,2.48478130e+00
9,23.162971799737,6.38706326e-01,2.76112383e+00
10,24.498847555356,1.70311719e+00,2.42549383e+00
11,27.361477519001,-6.08619754e-01,2.70411024e+00
12,29.178879666363,-7.02569326e-01,2.96421211e+00
13,30.721899644548,3.24216354e-01,3.14327235e+00
14,32.475887591542,-1.69376129e-01,3.50951719e+00
15,34.111240783037,-1.50184312e-01,3.37831183e+00
16,35.311847458978,2.31853342e+00,3.02747826e+00
17,38.364637336031,-2.93003816e+00,3.24207548e+00
18,39.482578746662,-3.92100468e-01,3.85288561e+00
19,40.710328651654,1.39665555e+00,4.64401417e+00
20,42.304857587643,7.75860289e-01,3.53878327e+00
21,43.931854287427,1.14807685e+00,3.82773996e+00
22,46.194327427406,-2.30367996e+00,3.81883663e+00
23,47.298585340277,1.51827398e+00,4.34144776e+00
24,49.235894262416,-1.27329049e+00,4.22790164e+00
25,50.983099434948,-1.01128508e+01,6.93627121e+00
26,51.296631458427,1.16248531e+01,2.95526683e+00
27,53.246556716449,1.70680879e+00,4.00296746e+00
28,55.639330768799,-2.50558505e+00,4.07827493e+00
29,57.012687073640,-1.34006105e+00,5.00106657e+00
30,58.281923096112,-1.56838981e+00,6.38718278e+00
31,59.206201945629,4.33294799e+00,4.46130239e+00
32,61.356287385983,-2.62224146e+00,5.38283154e+00
33,62.324608617366,3.09648342e+00,4.84048837e+00
34,64.103261131231,3.22055526e-01,4.87127717e+00
35,66.126640192126,-3.43849961e+00,4.76977173e+00
36,67.149320310243,1.77273157e-01,6.15000007e+00
37,68.614855143820,-1.14204898e+00,7.07732198e+00
38,69.618030821397,2.19970531e+00,5.80995240e+00
39,70.829902336759,4.07755252e+00,4.54022430e+00
40,73.406720929512,-4.31908530e+00,4.64591206e+00
41,74.547140922264,-1.97389232e+00,6.79547032e+00
42,75.465732176026,3.18693253e+00,6.50383207e+00
43,77.242745429813,-1.41084633e+00,6.11248315e+00
44,78.494846517302,-5.69156634e-01,7.03693509e+00
45,79.582509767099,2.87357230e+00,6.29877819e+00
46,81.064150238780,1.74189159e+00,5.53214313e+00
47,82.874742376285,-8.19429301e-01,5.65793019e+00
48,84.700627931748,-6.10185066e+00,5.18523567e+00
49,85.594741477041,-1.20944062e+00,9.78274778e+00
50,86.478453083226,4.74451963e+00,7.43508959e+00
51,87.825015272949,3.07782310e+00,5.81827576e+00
52,89.576403137472,-5.33318280e-01,6.36632088e+00
53,90.984722411013,4.05198293e-01,6.23596363e+00
54,92.779639034817,-7.62617915e+00,7.08291824e+00
55,93.443685425393,6.49035005e+00,7.52278777e+00
56,95.220606704035,-3.42150870e+00,7.24565976e+00
57,96.356298690371,1.12311349e+00,8.32714091e+00
58,97.665110120175,-6.27813503e+00,1.11156014e+01
59,98.198032230371,1.32316540e+01,3.06682657e+00
60,100.935985080970,-5.94693950e+00,5.36514113e+00
61,102.039107553870,-2.08456100e+00,8.37437699e+00
62,103.050247098166,-2.67853929e-01,9.06938575e+00
63,104.265426368321,1.43173673e+00,9.16441859e+00
64,105.427501287708,2.11770132e+00,7.41899052e+00
65,106.763444277516,2.02354467e+00,7.49997192e+00
66,108.378725340935,-1.25067848e+00,7.30346310e+00
67,109.603524242231,3.12428018e-01,7.91434687e+00
68,110.977035782058,5.75268021e-01,7.51433402e+00
69,112.804420712861,-1.15561903e+01,5.85959326e+00
70,113.396267143105,5.85558841e+00,1.31589083e+01
71,114.589857621378,2.20861335e+00,9.19781723e+00
72,115.675510415557,4.48023286e+00,7.56216931e+00
73,117.171903423055,2.46586267e+00,6.75326323e+00
74,119.253834890075,-7.51542388e+00,6.21832557e+00
75,120.200035385450,-8.88218329e-01,1.04074032e+01
76,121.286240022852,-2.11009645e+00,1.12975954e+01
77,122.148499092480,7.52826030e+00,7.90190028e+00
78,124.138259395242,-9.01101641e+00,8.12760313e+00
79,124.801568020389,6.44197504e+00,1.15772703e+01
80,125.951146805688,5.08902082e+00,7.11618213e+00
81,127.736292005880,-1.17523107e+00,7.69315434e+00
82,129.341141261873,-6.17796875e+00,7.89357152e+00
83,130.226074822939,9.81905399e-01,1.04309013e+01
84,131.668862178255,-6.80166258e+00,1.14309719e+01
85,132.429291655568,4.61467674e+00,1.28552784e+01
86,133.302911510976,8.90139717e+00,6.40032300e+00
87,135.156722029647,1.35031789e-01,7.76544486e+00
88,136.995379746301,-1.32427770e+01,7.16608902e+00
89,137.519301386865,9.24795484e+00,1.22782335e+01
90,139.057029172719,-1.77223004e+00,9.60834261e+00
91,140.258865698567,-1.00757124e+00,1.02155207e+01
92,141.420014990652,-6.75687299e-01,1.12212279e+01
93,142.531248432635,1.44483295e+00,1.10802419e+01
94,143.584901603926,3.75325475e+00,9.86093970e+00
95,144.820532539013,4.70755133e+00,7.59580698e+00
96,146.967847415506,-8.80982615e+00,6.53794135e+00
97,147.998796532598,-5.98556248e+00,1.20884564e+01
98,148.780646492736,1.10128454e+00,1.42669407e+01
99,149.746569640419,6.94312625e+00,1.11012945e+01
100,151.121020490105,1.48966044e+00,9.26627724e+00
101,152.414119774019,-2.78910197e-02,1.07190694e+01
102,153.557427765201,3.79498637e+00,8.88852810e+00
103,155.404984301242,-1.16060461e+01,8.60865418e+00
104,156.054399213862,7.71111488e+00,1.30170541e+01
105,157.468475587425,-5.36680245e-01,9.24866969e+00
106,159.051220835731,-1.51438760e+01,1.17714321e+01
107,159.617059070885,1.07024227e+01,1.42714116e+01
108,160.755071582812,8.98092325e-01,1.39819494e+01
109,161.604939574087,1.15725374e+01,5.96512374e+00
110,163.954925047149,-9.97597531e+00,7.22971278e+00
111,164.789401322036,2.09467077e+00,1.27150418e+01
112,166.267829802596,-1.38714404e+01,1.07604708e+01
113,166.844330671605,1.10354403e+01,1.55434150e+01
114,168.155086438803,8.75188822e-01,1.15567448e+01
115,169.228960137501,4.17531202e+00,1.05491852e+01
116,170.829894022392,-7.46859836e+00,1.22825969e+01
117,171.524109205333,9.15368974e+00,1.08057991e+01
118,173.006387330568,9.45442298e-01,9.72608981e+00
119,174.617045945606,-5.39046039e+00,9.79970785e+00
120,175.792239121414,-7.54697885e+00,1.12672774e+01
121,176.640610762733,-5.91399644e-01,1.78577828e+01
122,177.550970233199,7.81874917e+00,1.18348806e+01
123,178.929980419828,-5.18571625e+00,1.52842636e+01
124,179.578976034004,1.45082700e+01,6.94114079e+00
125,181.687932340373,-5.27008665e+00,8.72760950e+00
126,183.039887399171,-1.10830277e+01,1.10665415e+01
127,183.755510414274,1.81981276e+00,1.71112898e+01
128,184.662396252807,7.79649206e+00,1.16681451e+01
129,186.265786932745,-4.10617074e+00,1.12295267e+01
130,187.441310178865,-9.20587385e+00,1.60127798e+01
131,188.048576007562,1.25331861e+01,1.33472068e+01
132,189.286584788613,5.65245397e+00,1.00177093e+01
133,190.836408498742,-5.17072969e-01,1.01983518e+01
134,192.329556964348,-6.00147947e+00,1.04776246e+01
135,193.425976810479,-4.57762947e+00,1.30805295e+01
136,194.518974544360,-7.10440097e+00,1.56390405e+01
137,195.354611872835,1.65367958e+00,2.15527043e+01
138,196.039200453603,1.55905140e+01,6.91215077e+00
139,197.792863396353,-1.85175042e+00,1.13728132e+01
140,198.971780750118,8.84111939e-01,1.18889651e+01
141,200.315973355083,-4.26677161e+00,1.19631152e+01
142,201.343829788952,1.13207518e+00,1.36981962e+01
143,202.684144417264,-5.31836637e+00,1.28952420e+01
144,203.578909057587,2.29562214e+00,1.44885347e+01
145,204.859930502788,-2.74684610e+00,1.47116472e+01
146,205.962218390611,-6.18347029e+00,1.77317421e+01
147,206.560618751490,1.47057802e+01,1.25810735e+01
148,207.849393800276,7.45718812e+00,8.74448301e+00
149,210.045646176894,-1.41789144e+01,6.06937660e+00
150,210.991326157374,-1.63766147e+01,2.10730050e+01
151,211.445137827250,1.68428995e+01,1.40672591e+01
152,212.919994793045,-5.83837323e+00,1.79052201e+01
153,213.678166237591,1.11499186e+01,1.17508278e+01
154,215.222130364642,-8.85184489e+00,1.50215979e+01
155,215.910533227551,1.28181075e+01,1.25263310e+01
156,217.558383970614,-3.82869757e+00,1.13589938e+01
157,218.672691448069,-2.50988012e+00,1.52095968e+01
158,219.655441419082,4.96728012e+00,1.23992142e+01
159,221.417008577358,-2.01192888e+01,8.18253681e+00
160,221.993468186256,7.19640141e+00,2.33691466e+01
161,223.152296950960,-6.51780036e+00,2.03193922e+01
162,223.736469254911,1.76972952e+01,1.21930705e+01
163,225.084458540573,5.91004217e+00,1.07785598e+01
164,226.679493853843,-2.61308140e+00,1.12700444e+01
165,228.048902060027,-7.63188160e+00,1.24948453e+01
166,229.061351647886,-4.74634736e+00,1.58182680e+01
167,230.081227900798,-7.54613141e+00,2.13380819e+01
168,230.712120496568,1.59843931e+01,1.26103644e+01
169,232.305648956792,-4.27421433e+00,1.38422225e+01
