n,gamma,gamma_dps,source
80,201.26475194370378873301613342754817322240286363919,50,mpmath.zetazero (mpmath python)
81,202.49359451414053427768666063786431582102024489942,50,mpmath.zetazero (mpmath python)
82,204.18967180310455433071643838631368513653452922874,50,mpmath.zetazero (mpmath python)
83,205.39469720216328602521237939069309092372291477205,50,mpmath.zetazero (mpmath python)
84,207.90625888780620986150196790775364426865940376888,50,mpmath.zetazero (mpmath python)
85,209.57650971685625985283564428988675217539078318133,50,mpmath.zetazero (mpmath python)
86,211.69086259536530756390748673071929425339403098294,50,mpmath.zetazero (mpmath python)
87,213.34791935971266619063912202107260882189718327663,50,mpmath.zetazero (mpmath python)
88,214.54704478349142322294420107259069104559988805308,50,mpmath.zetazero (mpmath python)
89,216.16953850826370026586956335449812857545371427416,50,mpmath.zetazero (mpmath python)
90,219.06759634902137898567725659043724124514918292701,50,mpmath.zetazero (mpmath python)
91,220.71491883931400336911559263390633965676114507766,50,mpmath.zetazero (mpmath python)
92,221.43070555469333873209747511927607795022233107732,50,mpmath.zetazero (mpmath python)
93,224.00700025460433521172887552850489535608598994960,50,mpmath.zetazero (mpmath python)
94,224.98332466958228750378252368052865677209005448559,50,mpmath.zetazero (mpmath python)
95,227.42144427967929131046143616065963996396914832198,50,mpmath.zetazero (mpmath python)
96,229.33741330552534810776008330605574008275234138782,50,mpmath.zetazero (mpmath python)
97,231.25018870049916477380618677001037260670849584312,50,mpmath.zetazero (mpmath python)
98,231.98723525318024860377166853919786220541983399456,50,mpmath.zetazero (mpmath python)
99,233.69340417890830064070449473256978817953722775457,50,mpmath.zetazero (mpmath python)
100,236.52422966581620580247550795566297868952949521219,50,mpmath.zetazero (mpmath python)
101,237.76982048092520400323662592638710779416061935212,50,mpmath.zetazero (mpmath python)
102,239.55547757332762874026893203433449248170831832671,50,mpmath.zetazero (mpmath python)
103,241.04915779621658641283792141033567054964568284472,50,mpmath.zetazero (mpmath python)
104,242.82327193422260001682647445887854995394054376762,50,mpmath.zetazero (mpmath python)
105,244.07089849707815823681652798984450134710019071677,50,mpmath.zetazero (mpmath python)
106,247.13699007489749946755096817920813226786464200963,50,mpmath.zetazero (mpmath python)
107,248.10199006014845925676214208465699735581038125844,50,mpmath.zetazero (mpmath python)
108,249.57368964470720919232979418873997034261113068267,50,mpmath.zetazero (mpmath python)
109,251.01494779501600114295415510370804815232678283154,50,mpmath.zetazero (mpmath python)
110,253.06998674799947719459901378561809093008715024964,50,mpmath.zetazero (mpmath python)
111,255.30625645491402275308649179400142315791003281496,50,mpmath.zetazero (mpmath python)
112,256.38071369443447778935838233972953087121665239003,50,mpmath.zetazero (mpmath python)
113,258.61043949153136820898305864475913163219440628499,50,mpmath.zetazero (mpmath python)
114,259.87440698967800035067284461387659266619848146457,50,mpmath.zetazero (mpmath python)
115,260.80508450459687018593123347246454803493895387243,50,mpmath.zetazero (mpmath python)
116,263.57389390487013223308158813102330317031421943699,50,mpmath.zetazero (mpmath python)
117,265.55785183887632029247730896418491464100498615248,50,mpmath.zetazero (mpmath python)
118,266.61497378150107249572011297386791180663595718717,50,mpmath.zetazero (mpmath python)
119,267.92191508282405944037896717218561837429256814328,50,mpmath.zetazero (mpmath python)
120,269.97044902399760259469350531889847966292690528806,50,mpmath.zetazero (mpmath python)
121,271.49405564164499901817941675752285069354351956299,50,mpmath.zetazero (mpmath python)
122,273.45960918840328704571425029880177292284009967709,50,mpmath.zetazero (mpmath python)
123,275.58749264934384124874070261937778482644752859723,50,mpmath.zetazero (mpmath python)
124,276.45204950313293867988734363839924194807996668100,50,mpmath.zetazero (mpmath python)
125,278.25074352984195449274827671131625892611790065589,50,mpmath.zetazero (mpmath python)
126,279.22925092774518922840988045195535928349263740556,50,mpmath.zetazero (mpmath python)
127,282.46511476505209623302720118650102420550683628035,50,mpmath.zetazero (mpmath python)
128,283.21118573323386742049383794332893829845568487896,50,mpmath.zetazero (mpmath python)
129,284.83596398090472413315763392269621646314282792831,50,mpmath.zetazero (mpmath python)
130,286.66744536300288429284762414641493934386822628278,50,mpmath.zetazero (mpmath python)
131,287.91192050142218715525412027186751038546141944057,50,mpmath.zetazero (mpmath python)
132,289.57985492921883415273802356935234388966949836294,50,mpmath.zetazero (mpmath python)
133,291.84629132906739583551305442463851188282063559998,50,mpmath.zetazero (mpmath python)
134,293.55843413935628535677669710603507734379883435647,50,mpmath.zetazero (mpmath python)
135,294.96536961926554217506644863900967134305544588255,50,mpmath.zetazero (mpmath python)
136,295.57325487895829238846083145877861063728515711063,50,mpmath.zetazero (mpmath python)
137,297.97927706194341520992968295768283418105709718980,50,mpmath.zetazero (mpmath python)
138,299.84032605372131296002705252529376925421557006434,50,mpmath.zetazero (mpmath python)
139,301.64932546219418362347010020841798208110561009352,50,mpmath.zetazero (mpmath python)
140,302.69674958960691705175147709535292276293582041168,50,mpmath.zetazero (mpmath python)
141,304.86437134085729770014874990314449959258694583824,50,mpmath.zetazero (mpmath python)
142,305.72891260203680928922282126166096725696315957908,50,mpmath.zetazero (mpmath python)
143,307.21949612817005478941003339993450226743384827842,50,mpmath.zetazero (mpmath python)
144,310.10946314670189880478621976799894583476301318153,50,mpmath.zetazero (mpmath python)
145,311.16514153035600327094267080035481989918880493970,50,mpmath.zetazero (mpmath python)
146,312.42780118060089198048598309287426376285394009315,50,mpmath.zetazero (mpmath python)
147,313.98528573115892297904896575457632856802498157515,50,mpmath.zetazero (mpmath python)
148,315.47561608947573386859607814395376533577469763099,50,mpmath.zetazero (mpmath python)
149,317.73480594237018039564549420496811401524274058515,50,mpmath.zetazero (mpmath python)
150,318.85310425631659790668918454774918220301310241089,50,mpmath.zetazero (mpmath python)
151,321.16013430911357829192147141743069402975266279829,50,mpmath.zetazero (mpmath python)
